x,y
4,18.81547619
4,18.73214286
4,15.54166667
4,13.33928571
4,20.63690476
4,27.14880952
4,18.51785714
4,26.91071429
4,14.04166667
4,17.14285714
4,16.42857143
4,16.83928571
4,28.16071429
4,15.42261905
4,28.82037303
4,13.74404762
4,15.14285714
4,17.11309524
4,17.35119048
4,17.76190476
4.25,19.86309524
4.25,15.95238095
4.25,22.2202381
4.25,12.70238095
4.25,15.73809524
4.25,18.75
4.25,15.58928571
4.25,30.16081153
4.25,14.77380952
4.25,17.58333333
4.25,14.96428571
4.25,12.92261905
4.25,24.6547619
4.25,12.32738095
4.25,17.04761905
4.25,17.29166667
4.25,15.38095238
4.25,14.91666667
4.25,17.61904762
4.25,16.95833333
4.5,15.68452381
4.5,31.97065331
4.5,19.29761905
4.5,14.76190476
4.5,29.8452381
4.5,19.0297619
4.5,14.61309524
4.5,16.74404762
4.5,20.83928571
4.5,17.4047619
4.5,19.41071429
4.5,15.79761905
4.5,21.43452381
4.5,13.67261905
4.5,12.13095238
4.5,21.43452381
4.5,18.00595238
4.5,14.01785714
4.5,16.08333333
4.5,19.14285714
4.75,13.20833333
4.75,27.55357143
4.75,23.20238095
4.75,21.08333333
4.75,22.33928571
4.75,25.73214286
4.75,12.89880952
4.75,18.0297619
4.75,20.7797619
4.75,21.19047619
4.75,19.45238095
4.75,20.375
4.75,14.92857143
4.75,17.75
4.75,11.26785714
4.75,15.97619048
4.75,23.0297619
4.75,18.7797619
4.75,23.63690476
4.75,16.29166667
5,13.82738095
5,19.16666667
5,17.26190476
5,11.85119048
5,19.31547619
5,15.125
5,29.12598681
5,26.88095238
5,13.69642857
5,18.20238095
5,14.30357143
5,18.39285714
5,19.83333333
5,22
5,21.2797619
5,16.46428571
5,14.32142857
5,22.06547619
5,19.36309524
5,13.99404762
5.25,16.25595238
5.25,29.66421949
5.25,12.82142857
5.25,28.33333333
5.25,26.36904762
5.25,29.05357143
5.25,13.36904762
5.25,17.39285714
5.25,14.73809524
5.25,11.48809524
5.25,15.03571429
5.25,22.54166667
5.25,14.00595238
5.25,14.76785714
5.25,16.16666667
5.25,17.44047619
5.25,17.33928571
5.25,23.86904762
5.25,28.69047619
5.25,16.45238095
5.5,16.35119048
5.5,26.55952381
5.5,18.20238095
5.5,16.95238095
5.5,12.31547619
5.5,15.05952381
5.5,15.83333333
5.5,13.99404762
5.5,27.58928571
5.5,17.04166667
5.5,12.30952381
5.5,16.91071429
5.5,11.81547619
5.5,14.26785714
5.5,16.68452381
5.5,13.71428571
5.5,15.24404762
5.5,30.10249323
5.5,18.30357143
5.5,18.76190476
5.75,18.2202381
5.75,17.44642857
5.75,14.75
5.75,13.22619048
5.75,13.35714286
5.75,16.76190476
5.75,14.67261905
5.75,22.00595238
5.75,12.20238095
5.75,15.67261905
5.75,14.67857143
5.75,20.78571429
5.75,11.33333333
5.75,18.67261905
5.75,17.63690476
5.75,17.63095238
5.75,12.54761905
5.75,11.75
5.75,13.26785714
5.75,15.13690476
6,29.23815853
6,13.67857143
6,20.46428571
6,17.95238095
6,13.94047619
6,16.86904762
6,20.5952381
6,22.83928571
6,15.01785714
6,31.18783631
6,22.53571429
6,12.57738095
6,16.125
6,17.95833333
6,12.00595238
6,15.20833333
6,18.91666667
6,21.44642857
6,17.81547619
6,19.66666667
