x,y,,,,
1.6,16.66666667,,,,16.66666667
1.6,12.32142857,,,,12.32142857
1.6,13.7202381,,,,13.7202381
1.6,14.54761905,,,,14.54761905
1.6,16.00595238,,,,16.00595238
1.6,19.66666667,,,,19.66666667
1.6,16.71428571,,,,16.71428571
1.6,31.87798973,,,,0
1.6,15.2797619,,,,15.2797619
1.6,26.06547619,,,,26.06547619
1.6,16.79166667,,,,16.79166667
1.6,11.50595238,,,,11.50595238
1.6,19.23809524,,,,19.23809524
1.6,21.75595238,,,,21.75595238
1.6,13.57142857,,,,13.57142857
1.6,16.10119048,,,,16.10119048
1.6,14.04761905,,,,14.04761905
1.6,15.125,,,,15.125
1.6,17.24404762,,,,17.24404762
1.6,23.94642857,,,,23.94642857
1.7,14.9702381,,,,14.9702381
1.7,15.22619048,,,,15.22619048
1.7,15.86904762,,,,15.86904762
1.7,16.70833333,,,,16.70833333
1.7,16.31547619,,,,16.31547619
1.7,23.69642857,,,,23.69642857
1.7,27.64285714,,,,27.64285714
1.7,26.86309524,,,,26.86309524
1.7,14.86904762,,,,14.86904762
1.7,18.08928571,,,,18.08928571
1.7,13.48809524,,,,13.48809524
1.7,22.95833333,,,,22.95833333
1.7,24.91071429,,,,24.91071429
1.7,17.2797619,,,,17.2797619
1.7,13.74404762,,,,13.74404762
1.7,28.31547619,,,,28.31547619
1.7,13.55357143,,,,13.55357143
1.7,19.58333333,,,,19.58333333
1.7,20.55952381,,,,20.55952381
1.7,15.83333333,,,,15.83333333
1.8,14.23809524,,,,14.23809524
1.8,16.36309524,,,,16.36309524
1.8,19.22619048,,,,19.22619048
1.8,15.88690476,,,,15.88690476
1.8,17.61309524,,,,17.61309524
1.8,13.20238095,,,,13.20238095
1.8,21.46428571,,,,21.46428571
1.8,16.85119048,,,,16.85119048
1.8,16.96428571,,,,16.96428571
1.8,15,,,,15
1.8,17.92261905,,,,17.92261905
1.8,19.23809524,,,,19.23809524
1.8,19.20238095,,,,19.20238095
1.8,13.17857143,,,,13.17857143
1.8,17.36309524,,,,17.36309524
1.8,18.52380952,,,,18.52380952
1.8,30.88192165,,,,0
1.8,14.94047619,,,,14.94047619
1.8,28.14880952,,,,28.14880952
1.8,19.92261905,,,,19.92261905
1.9,21.28571429,,,,21.28571429
1.9,25.01785714,,,,25.01785714
1.9,22.57738095,,,,22.57738095
1.9,16.11309524,,,,16.11309524
1.9,29.26552159,,,,0
1.9,12.88690476,,,,12.88690476
1.9,15.86309524,,,,15.86309524
1.9,22.79761905,,,,22.79761905
1.9,20.7797619,,,,20.7797619
1.9,16.79166667,,,,16.79166667
1.9,19.10714286,,,,19.10714286
1.9,17.18452381,,,,17.18452381
1.9,15.57738095,,,,15.57738095
1.9,16.4702381,,,,16.4702381
1.9,14.96428571,,,,14.96428571
1.9,20.77380952,,,,20.77380952
1.9,22.53571429,,,,22.53571429
1.9,16.0297619,,,,16.0297619
1.9,19.14285714,,,,19.14285714
1.9,15.72619048,,,,15.72619048
2,13.82738095,,,,13.82738095
2,19.16666667,,,,19.16666667
2,17.26190476,,,,17.26190476
2,11.85119048,,,,11.85119048
2,19.31547619,,,,19.31547619
2,15.125,,,,15.125
2,29.3947554,,,,0
2,26.88095238,,,,26.88095238
2,13.69642857,,,,13.69642857
2,18.20238095,,,,18.20238095
2,14.30357143,,,,14.30357143
2,18.39285714,,,,18.39285714
2,19.83333333,,,,19.83333333
2,22,,,,22
2,21.2797619,,,,21.2797619
2,16.46428571,,,,16.46428571
2,14.32142857,,,,14.32142857
2,22.06547619,,,,22.06547619
2,19.36309524,,,,19.36309524
2,13.99404762,,,,13.99404762
2.1,16.39880952,,,,16.39880952
2.1,17.83928571,,,,17.83928571
2.1,13.42261905,,,,13.42261905
2.1,14.41666667,,,,14.41666667
2.1,15.5297619,,,,15.5297619
2.1,21.64285714,,,,21.64285714
2.1,11.47619048,,,,11.47619048
2.1,15.875,,,,15.875
2.1,28.70238095,,,,28.70238095
2.1,19.39285714,,,,19.39285714
2.1,14.58333333,,,,14.58333333
2.1,12.86309524,,,,12.86309524
2.1,21.375,,,,21.375
2.1,15.60714286,,,,15.60714286
2.1,18.73809524,,,,18.73809524
2.1,13.89285714,,,,13.89285714
2.1,13.8452381,,,,13.8452381
